variable;solutions
CONFIG_X86_GENERIC;!CONFIG_MGEODEGX1 CONFIG_MGEODE_LX ;CONFIG_MGEODEGX1 !CONFIG_MGEODE_LX 
CONFIG_USB_WUSB_CBAF_MODULE;CONFIG_USB_GADGET !CONFIG_USB_WUSB !CONFIG_USB_GADGET_MODULE !CONFIG_USB_MODULE !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE CONFIG_USB ;!CONFIG_USB_GADGET !CONFIG_USB_WUSB CONFIG_USB_GADGET_MODULE CONFIG_USB_MODULE !CONFIG_PCI !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE !CONFIG_USB ;!CONFIG_USB_GADGET !CONFIG_USB_WUSB CONFIG_USB_MODULE CONFIG_PCI !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE !CONFIG_USB ;!CONFIG_USB_GADGET !CONFIG_USB_WUSB !CONFIG_USB_MODULE !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE CONFIG_USB ;CONFIG_USB_GADGET !CONFIG_USB_WUSB !CONFIG_USB_GADGET_MODULE CONFIG_USB_MODULE !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE !CONFIG_USB !CONFIG_USB_PHY ;!CONFIG_USB_WUSB !CONFIG_USB_GADGET_MODULE CONFIG_USB_MODULE !CONFIG_PCI !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE !CONFIG_USB CONFIG_USB_PHY ;CONFIG_USB_GADGET !CONFIG_USB_WUSB !CONFIG_USB_GADGET_MODULE CONFIG_USB_MODULE CONFIG_PCI !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE !CONFIG_USB CONFIG_USB_PHY ;!CONFIG_USB_GADGET !CONFIG_USB_WUSB !CONFIG_USB_GADGET_MODULE CONFIG_USB_MODULE !CONFIG_PCI !CONFIG_USB_WUSB_CBAF !CONFIG_USB_WUSB_MODULE !CONFIG_USB !CONFIG_USB_PHY 
CONFIG_NET_VENDOR_ROCKER;CONFIG_ETHERNET !CONFIG_ROCKER !CONFIG_ROCKER_MODULE 
CONFIG_IP_VS_DEBUG;CONFIG_IP_VS_MODULE !CONFIG_IP_VS_PE_SIP !CONFIG_IP_VS CONFIG_NETFILTER !CONFIG_IP_VS_PE_SIP_MODULE ;!CONFIG_IP_VS_MODULE !CONFIG_IP_VS_PE_SIP CONFIG_IP_VS CONFIG_NETFILTER !CONFIG_IP_VS_PE_SIP_MODULE 
CONFIG_MICREL_KS8995MA_MODULE;!CONFIG_PHYLIB_MODULE !CONFIG_MICREL_KS8995MA !CONFIG_PHYLIB 
CONFIG_MICREL_KS8995MA;!CONFIG_PHYLIB_MODULE !CONFIG_MICREL_KS8995MA_MODULE !CONFIG_PHYLIB 
CONFIG_MMC_REALTEK_USB_MODULE;!CONFIG_LEDS_CLASS_MODULE 
CONFIG_MGEODE_LX;!CONFIG_MGEODEGX1 CONFIG_X86_GENERIC 
CONFIG_NET_VENDOR_OKI;CONFIG_ETHERNET !CONFIG_PCH_GBE_MODULE !CONFIG_PCH_GBE 
CONFIG_RTLLIB_CRYPTO_CCMP_MODULE;!CONFIG_RTL8192E !CONFIG_RTL8192E_MODULE !CONFIG_RTLLIB_CRYPTO_CCMP CONFIG_STAGING 
CONFIG_DVB_DUMMY_FE_MODULE;!CONFIG_DVB_CORE !CONFIG_DVB_DUMMY_FE !CONFIG_DVB_CORE_MODULE 
CONFIG_ACCESSIBILITY;!CONFIG_A11Y_BRAILLE_CONSOLE 
CONFIG_CRYPTO_SHA1;!CONFIG_IP_SCTP_MODULE !CONFIG_SYSCTL ;CONFIG_IP_SCTP_MODULE !CONFIG_IP_SCTP !CONFIG_SYSCTL ;!CONFIG_IP_SCTP_MODULE !CONFIG_IP_SCTP CONFIG_SYSCTL 
CONFIG_REGULATOR_DEBUG;CONFIG_REGULATOR !CONFIG_REGULATOR_DBX500_PRCMU 
CONFIG_VLAN_8021Q_GVRP;!CONFIG_VLAN_8021Q CONFIG_VLAN_8021Q_MODULE 
CONFIG_MGEODEGX1;!CONFIG_MGEODE_LX CONFIG_X86_GENERIC 
