variable;solutions
CONFIG_VIDEOBUF2_MEMOPS_MODULE;!CONFIG_VIDEOBUF2_MEMOPS !CONFIG_VIDEO_DEV !CONFIG_VIDEO_DEV_MODULE 
CONFIG_X86_GENERIC;!CONFIG_MGEODEGX1 CONFIG_MGEODE_LX ;CONFIG_MGEODEGX1 !CONFIG_MGEODE_LX 
CONFIG_UNINLINE_SPIN_UNLOCK;!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP 
CONFIG_VIDEOBUF2_MEMOPS;!CONFIG_VIDEOBUF2_MEMOPS_MODULE !CONFIG_VIDEO_DEV !CONFIG_VIDEO_DEV_MODULE 
CONFIG_USB_WUSB_CBAF_MODULE;CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;!CONFIG_PCI CONFIG_USB !CONFIG_USB_MODULE !CONFIG_USB_GADGET CONFIG_USB_GADGET_MODULE CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF ;CONFIG_PCI !CONFIG_USB CONFIG_USB_MODULE !CONFIG_USB_GADGET !CONFIG_USB_GADGET_MODULE !CONFIG_USB_PHY !CONFIG_USB_WUSB !CONFIG_USB_WUSB_MODULE !CONFIG_USB_WUSB_CBAF 
CONFIG_NET_VENDOR_ROCKER;CONFIG_ETHERNET !CONFIG_ROCKER !CONFIG_ROCKER_MODULE 
CONFIG_IP_VS_DEBUG;CONFIG_IP_VS !CONFIG_IP_VS_MODULE !CONFIG_IP_VS_PE_SIP !CONFIG_IP_VS_PE_SIP_MODULE CONFIG_NETFILTER ;!CONFIG_IP_VS CONFIG_IP_VS_MODULE !CONFIG_IP_VS_PE_SIP !CONFIG_IP_VS_PE_SIP_MODULE CONFIG_NETFILTER 
CONFIG_MICREL_KS8995MA_MODULE;!CONFIG_MICREL_KS8995MA !CONFIG_PHYLIB !CONFIG_PHYLIB_MODULE 
CONFIG_SND_OPL3_LIB_MODULE;CONFIG_SND !CONFIG_SND_MODULE !CONFIG_SND_OPL3_LIB !CONFIG_SND_OPL4_LIB CONFIG_SND_OPL4_LIB_MODULE ;!CONFIG_SND CONFIG_SND_MODULE !CONFIG_SND_OPL3_LIB !CONFIG_SND_OPL4_LIB CONFIG_SND_OPL4_LIB_MODULE ;CONFIG_SND !CONFIG_SND_MODULE !CONFIG_SND_OPL3_LIB CONFIG_SND_OPL4_LIB !CONFIG_SND_OPL4_LIB_MODULE 
CONFIG_MICREL_KS8995MA;!CONFIG_MICREL_KS8995MA_MODULE !CONFIG_PHYLIB !CONFIG_PHYLIB_MODULE 
CONFIG_ASYNC_MEMCPY;!CONFIG_ASYNC_MEMCPY_MODULE CONFIG_DMADEVICES !CONFIG_DMA_ENGINE ;!CONFIG_ASYNC_MEMCPY_MODULE !CONFIG_DMADEVICES !CONFIG_DMA_ENGINE 
CONFIG_ARCH_WANT_GENERAL_HUGETLB;!CONFIG_HUGETLBFS 
CONFIG_INLINE_READ_UNLOCK_IRQ;!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP 
CONFIG_MMC_REALTEK_USB_MODULE;!CONFIG_LEDS_CLASS !CONFIG_LEDS_CLASS_MODULE ;CONFIG_LEDS_CLASS !CONFIG_LEDS_CLASS_MODULE 
CONFIG_DVB_AU8522;!CONFIG_DVB_AU8522_MODULE !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE 
CONFIG_ARCH_WANT_IPC_PARSE_VERSION;!CONFIG_SYSVIPC 
CONFIG_MGEODE_LX;!CONFIG_MGEODEGX1 CONFIG_X86_GENERIC 
CONFIG_NET_VENDOR_OKI;CONFIG_ETHERNET !CONFIG_PCH_GBE !CONFIG_PCH_GBE_MODULE 
CONFIG_RTLLIB_CRYPTO_CCMP_MODULE;!CONFIG_RTL8192E !CONFIG_RTL8192E_MODULE !CONFIG_RTLLIB_CRYPTO_CCMP CONFIG_STAGING 
CONFIG_INLINE_WRITE_UNLOCK;!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP 
CONFIG_X86_INTEL_USERCOPY;CONFIG_CPU_SUP_INTEL !CONFIG_X86_32 ;!CONFIG_CPU_SUP_INTEL CONFIG_X86_32 ;!CONFIG_CPU_SUP_INTEL !CONFIG_X86_32 
CONFIG_HSU_DMA_PCI;CONFIG_DMADEVICES !CONFIG_HSU_DMA !CONFIG_HSU_DMA_MODULE !CONFIG_HSU_DMA_PCI_MODULE ;!CONFIG_DMADEVICES !CONFIG_HSU_DMA !CONFIG_HSU_DMA_MODULE !CONFIG_HSU_DMA_PCI_MODULE 
CONFIG_SND_SST_IPC_ACPI;CONFIG_SND !CONFIG_SND_MODULE CONFIG_SND_SOC !CONFIG_SND_SOC_MODULE !CONFIG_SND_SST_IPC !CONFIG_SND_SST_IPC_MODULE !CONFIG_SND_SST_IPC_ACPI_MODULE CONFIG_SND_SST_MFLD_PLATFORM !CONFIG_SND_SST_MFLD_PLATFORM_MODULE 
